ID,acname,acqualifier,acvalue,Smiles,Source,dois,standardized,pIC50,z_score
118719439,IC50,=,3.2E-10,CC1=CC(=CC(=N1)C)NC2=NC=C(C(=N2)NC3C[C@@H]([C@H]([C@H]3O)O)CO)C4=NC5=CC=CC=C5S4.Cl,pubchem,10.1021/jm5016044,Cc1cc(Nc2ncc(-c3nc4ccccc4s3)c(NC3CC(CO)C(O)C3O)n2)cc(C)n1,9.4949,1.731804012
118719435,IC50,=,3.6E-10,C1=CC(=CN=C1)N2C=C(C(=N2)C(=O)N)NC(=O)C3=COC(=N3)C4=CC(=NC=C4)NCC(F)(F)F.Cl,pubchem,10.1021/jm5016044,NC(=O)c1nn(-c2cccnc2)cc1NC(=O)c1coc(-c2ccnc(NCC(F)(F)F)c2)n1,9.4437,1.690185495
169132490,IC50,=,4E-10,CN1C=CC=C(C1=O)NC(=O)C2=CC3=CN(N=C3C=C2OC)C4CCC5(CC4)COC(=O)N5C,pubchem,10.1021/acsmedchemlett.3c00474,COc1cc2nn(C3CCC4(CC3)COC(=O)N4C)cc2cc1C(=O)Nc1cccn(C)c1=O,9.3979,1.65295643
122196176,IC50,=,4E-10,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CSC3=NC=C(N=C23)N[C@@H]4CCCNC4,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2csc3ncc(NC4CCCNC4)nc23)c(C(F)F)n1,9.3979,1.65295643
122196249,IC50,=,4E-10,CN1C=C(C(=N1)C#N)NC(=O)C2=CSC3=NC=C(N=C23)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2csc3ncc(NC4CCCCC4N)nc23)c(C#N)n1,9.3979,1.65295643
169132465,IC50,=,4E-10,C[C@H](C(=O)N(C)C1CCC(CC1)N2C=C3C=C(C(=CC3=N2)OC)C(=O)NC4=CC=CN(C4=O)CF)O,pubchem,10.1021/acsmedchemlett.3c00474,COc1cc2nn(C3CCC(N(C)C(=O)C(C)O)CC3)cc2cc1C(=O)Nc1cccn(CF)c1=O,9.3979,1.65295643
122181675,IC50,=,5E-10,CN1C=C(C(=N1)C(F)(F)F)NC(=O)C2=C3N=C(C=CN3N=C2)N4C[C@@H](C[C@H](C4)F)N,pubchem,10.1021/acsmedchemlett.5b00107,Cn1cc(NC(=O)c2cnn3ccc(N4CC(N)CC(F)C4)nc23)c(C(F)(F)F)n1,9.301,1.574190134
170227781,IC50,=,5E-10,CN1C=CC=C(C1=O)NC(=O)C2=CC3=CN(N=C3C=C2OC)C4CCC(CC4)N5C=CC=CC5=O,pubchem,10.1021/acsmedchemlett.3c00474,COc1cc2nn(C3CCC(n4ccccc4=O)CC3)cc2cc1C(=O)Nc1cccn(C)c1=O,9.301,1.574190134
118414094,IC50,=,5E-10,CC[C@@H]1CC(=O)N[C@@H]1COC2=NC=CC3=CC(=C(C=C32)OC)C(=O)N,pubchem,10.1021/acs.jmedchem.7b00231,CCC1CC(=O)NC1COc1nccc2cc(C(N)=O)c(OC)cc12,9.301,1.574190134
170227839,IC50,=,5E-10,CC(C1=NC=CN1C2CCC(CC2)N3C=C4C=C(C(=CC4=N3)OC)C(=O)NC5=CC=CN(C5=O)C)O,pubchem,10.1021/acsmedchemlett.3c00474,COc1cc2nn(C3CCC(n4ccnc4C(C)O)CC3)cc2cc1C(=O)Nc1cccn(C)c1=O,9.301,1.574190134
122196065,IC50,=,5E-10,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CC=C3N2N=C(N=C3)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(F)F)n1,9.301,1.574190134
146386401,IC50,=,5.5E-10,CC(C)(C1=CC2=NN(C=C2C=C1NC(=O)C3=NC(=CC=C3)C(F)(F)F)CCN(C)C)O,pubchem,10.1016/j.bmcl.2020.127686,CN(C)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,9.2596,1.540537661
118424424,IC50,=,6E-10,C[C@H]1[C@H]2[C@@]1(C(=O)N[C@@H]2COC3=NC=CC4=CC(=C(C=C43)OC)C(=O)N)F,pubchem,10.1021/acs.jmedchem.7b00231,COc1cc2c(OCC3NC(=O)C4(F)C(C)C34)nccc2cc1C(N)=O,9.2218,1.50981149
170227690,IC50,=,6E-10,C[C@H](C(=O)N(C)C1CCC(CC1)N2C=C3C=C(C(=CC3=N2)OC)C(=O)NC4=CC=CN(C4=O)C5CC5)O,pubchem,10.1021/acsmedchemlett.3c00474,COc1cc2nn(C3CCC(N(C)C(=O)C(C)O)CC3)cc2cc1C(=O)Nc1cccn(C2CC2)c1=O,9.2218,1.50981149
163408858,IC50,=,6E-10,CC1(CC1)OC2=NC(=NC3=C2N=C(C=C3)C4=CN=CN=C4)NC5=CN(N=C5)C6CCN(CC6)C,pubchem,10.1016/j.bmc.2020.115815,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cncnc5)ccc4n3)cn2)CC1,9.2218,1.50981149
171343901,IC50,=,6E-10,CC1=NC=C(C=N1)C2=C(C=C3C(=N2)C(=NC(=N3)NC4=CN(N=C4)C5CC6(C5)CN(C6)C)NC7(CC7)C)F,pubchem,10.1016/j.bmc.2020.115815,Cc1ncc(-c2nc3c(NC4(C)CC4)nc(Nc4cnn(C5CC6(C5)CN(C)C6)c4)nc3cc2F)cn1,9.2218,1.50981149
168290117,IC50,=,6E-10,CC1(CC1)NC2=NC(=NC3=C2C(=O)N(C=C3)C)NC4=CN(N=C4)[C@H]5CCN(C[C@H]5F)C,pubchem,10.1016/j.bmc.2022.116729,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)C(F)C1,9.2218,1.50981149
168292221,IC50,=,6E-10,C[C@H]1C[C@H](CCN1C)N2C=C(C=N2)NC3=NC4=C(C(=N3)NC5(CC5)C)C(=O)N(C=C4)C,pubchem,10.1016/j.bmc.2022.116729,CC1CC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CCN1C,9.2218,1.50981149
122196248,IC50,=,7E-10,CN1C=C(C(=N1)C#N)NC(=O)C2=CC=C3N2N=C(C=C3)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3ccc(NC4CCCCC4N)nn23)c(C#N)n1,9.1549,1.455431044
122196178,IC50,=,7E-10,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CC=C3N2N=C(N=C3)N[C@@H]4CCCCNC4,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCNC4)nn23)c(C(F)F)n1,9.1549,1.455431044
171356430,IC50,=,7E-10,CN1C=C(C(=N1)C(=O)N)NC(=O)C2=CC=C3N2N=C(N=C3)NC4CCCCC4N.C(=O)(C(F)(F)F)O,pubchem,10.1016/j.ejmech.2017.08.009,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1,9.1549,1.455431044
118453722,IC50,=,7.4E-10,CC1=CC(=CC(=N1)C)NC2=NC=C(C(=N2)N[C@@H]3C[C@@H]([C@H]([C@H]3O)O)CO)C4=NC5=CC=CC=C5C=C4,pubchem,10.1016/j.bmcl.2015.05.097,Cc1cc(Nc2ncc(-c3ccc4ccccc4n3)c(NC3CC(CO)C(O)C3O)n2)cc(C)n1,9.1308,1.435841077
168291549,IC50,=,8E-10,CC1(CC1)NC2=NC(=NC3=C2C(=O)N(C=C3)C)NC4=CN(N=C4)C5CCN(CC5)CC(=O)N(C)C,pubchem,10.1016/j.bmc.2022.116729,CN(C)C(=O)CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,9.0969,1.408285067
134284285,IC50,=,8E-10,CN1C=C(C=N1)C2=CN3C(=NC=C3C4=NC(=CC=C4)NC5CCNC5)C=C2OC,pubchem,10.1021/acs.jmedchem.0c01851,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(C)c1,9.0969,1.408285067
122196172,IC50,=,8E-10,CN1C=C(C(=N1)C(F)(F)F)NC(=O)C2=CSC3=NC=C(N=C23)N[C@@H]4CCCNC4,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2csc3ncc(NC4CCCNC4)nc23)c(C(F)(F)F)n1,9.0969,1.408285067
122181629,IC50,=,8E-10,CN1C=C(C(=N1)C#N)NC(=O)C2=C3N=C(C=CN3N=C2)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1021/acsmedchemlett.5b00107,Cn1cc(NC(=O)c2cnn3ccc(NC4CCCCC4N)nc23)c(C#N)n1,9.0969,1.408285067
122196175,IC50,=,9E-10,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CC=C3N2N=C(C=C3)N[C@@H]4CCCNC4,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3ccc(NC4CCCNC4)nn23)c(C(F)F)n1,9.0458,1.366747835
168291708,IC50,=,0.000000001,CC1(CC1)NC2=NC(=NC3=C2C(=O)N(C=C3)C)NC4=CN(N=C4)C5CCN(CC5)C(=O)CN(C)C,pubchem,10.1016/j.bmc.2022.116729,CN(C)CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,9,1.329518771
122196066,IC50,=,0.000000001,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CC=C3N2N=C(C=C3)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3ccc(NC4CCCCC4N)nn23)c(C(F)F)n1,9,1.329518771
122196181,IC50,=,0.000000001,CN1C=C(C(=N1)Cl)NC(=O)C2=CC=C3N2N=C(C=C3)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3ccc(NC4CCCCC4N)nn23)c(Cl)n1,9,1.329518771
122196171,IC50,=,0.000000001,CN1C=C(C(=N1)C(F)(F)F)NC(=O)C2=CC=C3N2N=C(C=C3)N[C@@H]4CCCNC4,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3ccc(NC4CCCNC4)nn23)c(C(F)(F)F)n1,9,1.329518771
122196247,IC50,=,0.000000001,CN1C=C(C(=N1)C#N)NC(=O)C2=CC=C3N2N=C(N=C3)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C#N)n1,9,1.329518771
122196180,IC50,=,0.000000001,CN1C=C(C(=N1)Cl)NC(=O)C2=CC=C3N2N=C(N=C3)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(Cl)n1,9,1.329518771
58056241,IC50,=,0.000000001,C1CN(CCC1CN)C2=C(C=C(C=C2)Cl)NC(=O)C3=C4N=CC(=CN4N=C3)O,pubchem,10.1021/jm5016044,NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cc(O)cnc23)CC1,9,1.329518771
122181645,IC50,=,0.000000001,CN1C=C(C(=N1)C(F)(F)F)NC(=O)C2=C3N=C(C=CN3N=C2)N4C[C@@H](CC(C4)(F)F)N,pubchem,10.1021/acsmedchemlett.5b00107,Cn1cc(NC(=O)c2cnn3ccc(N4CC(N)CC(F)(F)C4)nc23)c(C(F)(F)F)n1,9,1.329518771
122196174,IC50,=,0.000000001,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CC=C3N2N=C(N=C3)N[C@@H]4CCCNC4,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCNC4)nn23)c(C(F)F)n1,9,1.329518771
25169383,IC50,=,0.000000001,C1CNCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl,pubchem,10.1016/j.bmcl.2008.04.042,Clc1ccc2ncc(-c3cccc(NC4CCNC4)n3)n2c1,9,1.329518771
122181640,IC50,=,0.000000001,CN1C=C(C(=N1)C(F)F)NC(=O)C2=C3N=C(C=CN3N=C2)N4CCNCC4,pubchem,10.1021/acsmedchemlett.5b00107,Cn1cc(NC(=O)c2cnn3ccc(N4CCNCC4)nc23)c(C(F)F)n1,9,1.329518771
155514207,IC50,=,0.000000001,CN1C=C(C=N1)NC2=NC3=C(C=C(C=C3)C#N)C(=N2)NC4CCC(CC4)N5CCN(CC5)C(=O)OC,pubchem,10.1021/acs.jmedchem.9b01346,COC(=O)N1CCN(C2CCC(Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1,9,1.329518771
171351631,IC50,=,0.000000001,CCN1C=C(C(=N1)C(=O)N)NC(=O)C2=CC=C3N2N=C(N=C3)NC4CCCCC4N.C(=O)(C(F)(F)F)O,pubchem,10.1016/j.ejmech.2017.08.009,CCn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1,9,1.329518771
44449050,IC50,=,0.000000001,C1CNCCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl,pubchem,10.1016/j.bmcl.2008.04.042,Clc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,9,1.329518771
163201216,IC50,=,0.000000001,CC1(CC1)NC2=NC(=NC3=C2C(=O)N(C=C3)C)NC4=CN(N=C4)C5CCN(CC5)C,pubchem,10.1016/j.bmc.2022.116729,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,9,1.329518771
168287013,IC50,=,0.000000001,CC1(CC1)NC2=NC(=NC3=C2C(=O)N(C=C3)C)NC4=CN(N=C4)C5CC6(C5)CN(C6)C,pubchem,10.1016/j.bmc.2022.116729,CN1CC2(CC(n3cc(Nc4nc(NC5(C)CC5)c5c(=O)n(C)ccc5n4)cn3)C2)C1,9,1.329518771
171358794,IC50,=,0.000000001,CC1(CC1)OC2=NC(=NC3=CC(=C(N=C32)C4=CN=CN=C4)F)NC5=CN(N=C5)C6CCN(CC6)C,pubchem,10.1016/j.bmc.2020.115815,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cncnc5)c(F)cc4n3)cn2)CC1,9,1.329518771
155549965,IC50,=,0.000000001,CC(=O)N1CCN(CC1)C2CCC(CC2)NC3=NC(=NC4=C3C=C(C=C4)C#N)NC5=CN(N=C5)C,pubchem,10.1021/acs.jmedchem.9b01346,CC(=O)N1CCN(C2CCC(Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1,9,1.329518771
122196064,IC50,=,0.000000001,CN1C=C(C(=N1)C(F)(F)F)NC(=O)C2=CSC3=NC=C(N=C23)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2csc3ncc(NC4CCCCC4N)nc23)c(C(F)(F)F)n1,9,1.329518771
171355723,IC50,=,0.000000001,CC1(CC1)OC2=NC(=NC3=C2N=C(C=C3)C4=CN=NC=C4)NC5=CN(N=C5)C6CCN(CC6)C,pubchem,10.1016/j.bmc.2020.115815,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5ccnnc5)ccc4n3)cn2)CC1,9,1.329518771
171349959,IC50,=,0.000000001,CC1(CC1)OC2=NC(=NC3=C2N=C(C=C3)C4=CN=CC=C4)NC5=CN(N=C5)C6CCN(CC6)C,pubchem,10.1016/j.bmc.2020.115815,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cccnc5)ccc4n3)cn2)CC1,9,1.329518771
168287402,IC50,=,0.000000001,CC1(CC1)NC2=NC(=NC3=C2C(=O)N(C=C3)C4=NNN=C4)NC5=CN(N=C5)C6CCN(CC6)C,pubchem,10.1016/j.bmc.2022.116729,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5c[nH]nn5)ccc4n3)cn2)CC1,9,1.329518771
141505851,IC50,=,1.3E-09,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CN=C3N2N=C(C=C3)N[C@@H]4CCCNC4,pubchem,10.1016/j.ejmech.2020.112092,Cn1cc(NC(=O)c2cnc3ccc(NC4CCCNC4)nn23)c(C(F)F)n1,8.8861,1.236933826
86343751,IC50,=,1.3E-09,C1CC2=C([C@H]1C[C@@H](C(=O)N)O)C3=C(N=CN=C3S2)OC4CCC(CC4)N5CCOCC5,pubchem,10.1016/j.ejmech.2018.11.072,NC(=O)C(O)CC1CCc2sc3ncnc(OC4CCC(N5CCOCC5)CC4)c3c21,8.8861,1.236933826
118413945,IC50,=,1.3E-09,CCC[C@@H]1CC(=O)N[C@@H]1COC2=NC=CC3=CC(=C(C=C32)OC)C(=O)N,pubchem,10.1021/acs.jmedchem.7b00231,CCCC1CC(=O)NC1COc1nccc2cc(C(N)=O)c(OC)cc12,8.8861,1.236933826
